question_id,hops,predicted,gold,hits_at_1,precision,recall,f1,exact_match,proved,n_proved,traces,time_ms,budget_used,obs_consumed,mode,noise_rate,budget_k,label
2hop_0,2,"{'dir_32', 'dir_6'}","{'dir_27', 'dir_2', 'dir_13'}",False,0.0,0.0,0.0,False,False,0,[],0.23570899793412536,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_1,2,{'dir_21'},"{'dir_26', 'dir_36'}",False,0.0,0.0,0.0,False,False,0,[],0.04562500544125214,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_2,2,set(),{'dir_37'},False,0.0,0.0,0.0,False,False,0,[],0.016165999113582075,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_3,2,set(),"{'dir_19', 'dir_38', 'dir_26', 'dir_20'}",False,0.0,0.0,0.0,False,False,0,[],0.013959004718344659,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_4,2,"{'dir_20', 'dir_29'}","{'dir_0', 'dir_26'}",False,0.0,0.0,0.0,False,False,0,[],0.05624999903375283,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_5,2,{'dir_35'},"{'dir_36', 'dir_14', 'dir_26', 'dir_34', 'dir_9'}",False,0.0,0.0,0.0,False,False,0,[],0.019999999494757503,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_6,2,{'dir_10'},"{'dir_1', 'dir_27', 'dir_14', 'dir_26', 'dir_31', 'dir_25'}",False,0.0,0.0,0.0,False,False,0,[],0.033125004847534,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_7,2,set(),"{'dir_37', 'dir_1'}",False,0.0,0.0,0.0,False,False,0,[],0.018624996300786734,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_8,2,{'dir_10'},"{'dir_38', 'dir_1', 'dir_16', 'dir_23', 'dir_39'}",False,0.0,0.0,0.0,False,False,0,[],0.016500001947861165,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_9,2,"{'dir_19', 'dir_33', 'dir_30'}","{'dir_17', 'dir_33'}",True,0.3333333333333333,0.5,0.4,False,False,0,[],0.019166996935382485,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_10,2,"{'dir_21', 'dir_14'}","{'dir_18', 'dir_7', 'dir_3', 'dir_5'}",False,0.0,0.0,0.0,False,False,0,[],0.01424999936716631,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_11,2,"{'dir_8', 'dir_31'}","{'dir_38', 'dir_1', 'dir_35', 'dir_8', 'dir_9'}",True,0.5,0.2,0.28571428571428575,False,False,0,[],0.013459000911097974,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_12,2,{'dir_34'},"{'dir_35', 'dir_15', 'dir_1'}",False,0.0,0.0,0.0,False,False,0,[],0.017541002307552844,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_13,2,{'dir_26'},"{'dir_3', 'dir_13', 'dir_10', 'dir_31', 'dir_34', 'dir_21', 'dir_24'}",False,0.0,0.0,0.0,False,False,0,[],0.015000005078036338,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_14,2,set(),"{'dir_30', 'dir_39'}",False,0.0,0.0,0.0,False,False,0,[],0.012666001566685736,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_15,2,{'dir_38'},"{'dir_10', 'dir_16', 'dir_23', 'dir_30', 'dir_4', 'dir_31', 'dir_9'}",False,0.0,0.0,0.0,False,False,0,[],0.015083001926541328,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_16,2,"{'dir_16', 'dir_4'}","{'dir_18', 'dir_16', 'dir_14', 'dir_28', 'dir_35', 'dir_22', 'dir_26', 'dir_9'}",True,0.5,0.125,0.2,False,False,0,[],0.014417004422284663,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_17,2,"{'dir_18', 'dir_7'}","{'dir_32', 'dir_9', 'dir_13'}",False,0.0,0.0,0.0,False,False,0,[],0.02837499778252095,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_18,2,{'dir_16'},"{'dir_18', 'dir_10', 'dir_30', 'dir_22', 'dir_17'}",False,0.0,0.0,0.0,False,False,0,[],0.015208002878353,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_19,2,"{'dir_2', 'dir_8'}","{'dir_10', 'dir_2', 'dir_38', 'dir_22'}",True,0.5,0.25,0.3333333333333333,False,False,0,[],0.012875003449153155,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_20,2,"{'dir_10', 'dir_6', 'dir_1'}","{'dir_17', 'dir_16', 'dir_24'}",False,0.0,0.0,0.0,False,False,0,[],0.019540995708666742,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_21,2,"{'dir_10', 'dir_1'}","{'dir_3', 'dir_17', 'dir_1'}",True,0.5,0.3333333333333333,0.4,False,False,0,[],0.011250005627516657,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_22,2,set(),"{'dir_26', 'dir_20'}",False,0.0,0.0,0.0,False,False,0,[],0.010374998964834958,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_23,2,"{'dir_27', 'dir_2'}","{'dir_13', 'dir_10', 'dir_35', 'dir_39', 'dir_17'}",False,0.0,0.0,0.0,False,False,0,[],0.012999997125007212,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_24,2,"{'dir_24', 'dir_36'}","{'dir_35', 'dir_25', 'dir_4'}",False,0.0,0.0,0.0,False,False,0,[],0.012167001841589808,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_25,2,set(),"{'dir_7', 'dir_20', 'dir_29', 'dir_28', 'dir_39'}",False,0.0,0.0,0.0,False,False,0,[],0.015249999705702066,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_26,2,"{'dir_24', 'dir_1'}","{'dir_3', 'dir_7', 'dir_5'}",False,0.0,0.0,0.0,False,False,0,[],0.015040997823234648,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_27,2,{'dir_33'},"{'dir_18', 'dir_30', 'dir_4'}",False,0.0,0.0,0.0,False,False,0,[],0.012166005035396665,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_28,2,"{'dir_17', 'dir_30'}","{'dir_16', 'dir_12', 'dir_30', 'dir_4', 'dir_39'}",True,0.5,0.2,0.28571428571428575,False,False,0,[],0.012415999663062394,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_29,2,"{'dir_26', 'dir_14'}","{'dir_13', 'dir_10', 'dir_30', 'dir_14', 'dir_31', 'dir_24'}",True,0.5,0.16666666666666666,0.25,False,False,0,[],0.01925000105984509,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_30,2,set(),{'dir_4'},False,0.0,0.0,0.0,False,False,0,[],0.011083000572398305,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_31,2,{'dir_14'},"{'dir_17', 'dir_22', 'dir_26'}",False,0.0,0.0,0.0,False,False,0,[],0.022999993234407157,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_32,2,{'dir_11'},"{'dir_29', 'dir_39'}",False,0.0,0.0,0.0,False,False,0,[],0.009916999260894954,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_33,2,{'dir_8'},"{'dir_38', 'dir_29', 'dir_12', 'dir_30', 'dir_4', 'dir_36', 'dir_14'}",False,0.0,0.0,0.0,False,False,0,[],0.013208999007474631,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_34,2,{'dir_37'},"{'dir_3', 'dir_1', 'dir_5', 'dir_22', 'dir_31'}",False,0.0,0.0,0.0,False,False,0,[],0.011874995834659785,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_35,2,set(),"{'dir_7', 'dir_5', 'dir_23', 'dir_4', 'dir_28', 'dir_35', 'dir_26', 'dir_0', 'dir_21', 'dir_9'}",False,0.0,0.0,0.0,False,False,0,[],0.016750003851484507,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_36,2,{'dir_17'},"{'dir_18', 'dir_10', 'dir_4', 'dir_28', 'dir_14', 'dir_21'}",False,0.0,0.0,0.0,False,False,0,[],0.010667004971764982,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_37,2,"{'dir_15', 'dir_16'}","{'dir_16', 'dir_26', 'dir_1'}",True,0.5,0.3333333333333333,0.4,False,False,0,[],0.009791998309083283,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_38,2,{'dir_15'},"{'dir_15', 'dir_35', 'dir_24'}",True,1.0,0.3333333333333333,0.5,False,False,0,[],0.017207996279466897,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_39,2,"{'dir_7', 'dir_13'}","{'dir_2', 'dir_20', 'dir_8'}",False,0.0,0.0,0.0,False,False,0,[],0.010332994861528277,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_40,2,{'dir_14'},{'dir_18'},False,0.0,0.0,0.0,False,False,0,[],0.013042001228313893,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_41,2,set(),"{'dir_18', 'dir_27', 'dir_38', 'dir_6'}",False,0.0,0.0,0.0,False,False,0,[],0.01333300315309316,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_42,2,"{'dir_19', 'dir_33'}","{'dir_3', 'dir_39'}",False,0.0,0.0,0.0,False,False,0,[],0.013417004083748907,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_43,2,"{'dir_11', 'dir_5'}","{'dir_35', 'dir_2', 'dir_31'}",False,0.0,0.0,0.0,False,False,0,[],0.012791002518497407,0,0,neural_only,0.0,5,Neural-only η=0.0
2hop_44,2,"{'dir_7', 'dir_37', 'dir_9'}","{'dir_10', 'dir_12', 'dir_23', 'dir_28', 'dir_4', 'dir_9'}",True,0.3333333333333333,0.16666666666666666,0.2222222222222222,False,False,0,[],0.01654199877521023,0,0,neural_only,0.0,5,Neural-only η=0.0
